,path,cluster
0,584,0
1,93,2
2,87,4
3,590,0
4,547,0
5,50,0
6,221,2
7,235,3
8,44,3
9,553,7
10,78,3
11,209,3
12,786,3
13,792,7
14,745,7
15,751,7
16,779,0
17,194,0
18,180,0
19,816,0
20,802,7
21,157,0
22,631,8
23,625,0
24,143,8
25,619,3
26,396,9
27,382,8
28,433,0
29,355,2
30,341,8
31,427,0
32,369,3
33,368,0
34,340,3
35,426,3
36,432,3
37,354,4
38,383,3
39,397,0
40,618,3
41,624,0
42,142,0
43,156,0
44,630,6
45,803,8
46,817,3
47,181,3
48,195,0
49,778,2
50,750,3
51,744,3
52,793,0
53,787,3
54,208,0
55,79,0
56,45,8
57,234,3
58,552,3
59,546,3
60,220,0
61,51,0
62,86,8
63,591,3
64,585,3
65,92,0
66,593,0
67,84,3
68,90,0
69,587,8
70,550,0
71,236,0
72,47,3
73,53,0
74,222,0
75,544,0
76,578,3
77,791,8
78,785,7
79,752,0
80,746,0
81,183,0
82,197,7
83,801,7
84,815,3
85,140,0
86,626,3
87,632,3
88,154,8
89,168,8
90,381,4
91,395,4
92,424,8
93,342,0
94,356,0
95,430,4
96,418,0
97,419,8
98,357,0
99,431,0
100,425,0
101,343,0
102,394,0
103,380,4
104,169,0
105,633,8
106,155,0
107,141,0
108,627,7
109,814,0
110,800,8
111,196,0
112,182,0
113,747,9
114,753,0
115,784,4
116,790,3
117,579,3
118,223,3
119,52,0
120,545,2
121,551,8
122,46,0
123,237,0
124,91,0
125,586,0
126,592,3
127,85,7
128,81,3
129,596,3
130,582,3
131,95,8
132,569,8
133,233,0
134,42,4
135,555,3
136,541,0
137,56,2
138,227,0
139,794,0
140,780,7
141,757,2
142,743,9
143,804,3
144,810,3
145,186,0
146,192,0
147,179,2
148,623,3
149,145,8
150,151,0
151,637,0
152,384,0
153,390,3
154,409,3
155,347,8
156,421,0
157,435,0
158,353,2
159,434,9
160,352,4
161,346,3
162,420,7
163,408,0
164,391,3
165,385,9
166,150,3
167,636,0
168,622,7
169,144,3
170,178,8
171,193,0
172,187,0
173,811,0
174,805,0
175,742,0
176,756,3
177,781,0
178,795,0
179,540,0
180,226,8
181,57,0
182,43,3
183,232,0
184,554,0
185,568,0
186,583,0
187,94,3
188,80,8
189,597,0
190,96,0
191,581,0
192,595,3
193,82,8
194,218,3
195,69,0
196,55,0
197,224,8
198,542,3
199,556,0
200,230,0
201,41,8
202,783,0
203,797,0
204,768,7
205,740,0
206,754,0
207,813,0
208,807,9
209,191,3
210,185,3
211,608,2
212,634,0
213,152,0
214,146,0
215,620,9
216,393,3
217,387,3
218,378,9
219,350,8
220,436,0
221,422,3
222,344,0
223,423,0
224,345,0
225,351,8
226,437,0
227,379,3
228,386,8
229,392,0
230,147,7
231,621,9
232,635,0
233,153,0
234,609,3
235,184,3
236,190,0
237,806,0
238,812,0
239,755,3
240,741,7
241,769,7
242,796,3
243,782,8
244,557,0
245,40,0
246,231,3
247,225,2
248,54,8
249,543,7
250,68,0
251,219,0
252,594,7
253,83,0
254,97,3
255,580,3
256,281,3
257,295,3
258,242,8
259,33,8
260,524,0
261,530,0
262,27,0
263,256,0
264,518,3
265,726,0
266,732,3
267,691,8
268,685,0
269,652,0
270,134,3
271,120,0
272,646,0
273,108,0
274,493,0
275,487,0
276,336,0
277,450,0
278,444,0
279,322,8
280,478,0
281,479,8
282,445,4
283,323,8
284,337,0
285,451,3
286,486,3
287,492,0
288,109,3
289,121,0
290,647,0
291,653,8
292,684,7
293,690,0
294,733,3
295,727,3
296,519,3
297,531,3
298,257,8
299,26,7
300,32,8
301,243,7
302,525,0
303,294,0
304,280,3
305,296,0
306,282,0
307,24,3
308,255,8
309,8,3
310,533,7
311,527,3
312,241,0
313,30,8
314,269,0
315,18,0
316,731,3
317,725,0
318,719,3
319,686,3
320,692,0
321,645,0
322,123,0
323,137,8
324,651,9
325,679,3
326,484,0
327,490,7
328,321,3
329,447,0
330,453,3
331,335,2
332,309,3
333,308,3
334,452,0
335,334,0
336,320,3
337,446,3
338,491,8
339,485,0
340,678,9
341,650,3
342,644,8
343,693,0
344,687,3
345,718,8
346,724,3
347,730,0
348,19,3
349,268,8
350,526,7
351,31,0
352,240,3
353,9,4
354,254,3
355,25,8
356,532,2
357,283,0
358,297,0
359,293,9
360,287,0
361,278,8
362,536,7
363,21,8
364,250,8
365,244,3
366,35,3
367,522,2
368,708,8
369,734,0
370,720,2
371,683,0
372,697,8
373,668,3
374,126,0
375,640,8
376,654,8
377,132,2
378,481,3
379,495,2
380,318,3
381,442,2
382,324,2
383,330,3
384,456,7
385,331,8
386,457,0
387,443,8
388,325,3
389,319,0
390,494,3
391,480,0
392,655,0
393,133,0
394,127,8
395,641,0
396,669,3
397,696,0
398,682,0
399,721,0
400,735,5
401,709,0
402,34,4
403,245,3
404,523,7
405,537,3
406,251,9
407,20,7
408,279,0
409,286,0
410,292,0
411,284,7
412,290,3
413,509,0
414,521,0
415,247,3
416,36,2
417,22,0
418,253,0
419,535,0
420,723,0
421,737,0
422,694,2
423,680,9
424,119,0
425,131,0
426,657,0
427,643,0
428,125,8
429,496,7
430,482,0
431,469,2
432,455,0
433,333,3
434,327,8
435,441,3
436,326,8
437,440,4
438,454,0
439,468,3
440,483,3
441,497,0
442,642,4
443,124,3
444,130,0
445,656,3
446,118,3
447,681,0
448,695,0
449,736,0
450,722,3
451,252,0
452,23,0
453,534,9
454,520,0
455,37,4
456,246,8
457,508,3
458,291,7
459,285,8
460,288,3
461,12,3
462,263,8
463,505,0
464,511,7
465,277,4
466,2,0
467,539,8
468,707,0
469,713,0
470,698,0
471,673,9
472,115,8
473,101,8
474,667,3
475,317,4
476,471,3
477,465,0
478,303,0
479,459,8
480,458,3
481,464,0
482,302,0
483,316,8
484,470,4
485,128,3
486,100,0
487,666,2
488,672,3
489,114,0
490,699,3
491,712,0
492,706,3
493,3,3
494,538,4
495,510,8
496,276,4
497,262,8
498,13,0
499,504,0
500,289,3
501,274,0
502,512,8
503,506,4
504,11,0
505,260,9
506,39,3
507,248,8
508,1,0
509,710,8
510,704,0
511,738,3
512,664,8
513,102,0
514,116,0
515,670,3
516,658,8
517,499,3
518,300,0
519,466,3
520,472,8
521,314,8
522,328,0
523,329,0
524,473,0
525,315,8
526,301,3
527,467,0
528,498,3
529,659,0
530,117,3
531,671,7
532,665,8
533,103,0
534,739,3
535,705,0
536,711,0
537,249,4
538,38,8
539,507,7
540,261,0
541,10,0
542,275,0
543,513,0
544,259,2
545,4,0
546,28,0
547,517,3
548,271,8
549,14,0
550,265,0
551,503,0
552,729,0
553,715,0
554,701,0
555,649,9
556,107,0
557,661,8
558,675,4
559,113,3
560,488,4
561,339,3
562,463,0
563,305,0
564,311,1
565,477,0
566,310,3
567,476,8
568,462,3
569,304,3
570,338,0
571,489,0
572,674,9
573,112,0
574,106,8
575,660,0
576,648,0
577,700,0
578,714,3
579,728,3
580,264,0
581,15,3
582,502,0
583,516,0
584,270,8
585,29,0
586,5,0
587,258,0
588,299,8
589,7,0
590,528,8
591,500,0
592,17,0
593,266,3
594,272,0
595,514,8
596,702,8
597,716,8
598,689,3
599,138,2
600,110,4
601,676,3
602,662,0
603,104,8
604,448,8
605,474,3
606,312,0
607,306,0
608,460,7
609,307,3
610,461,0
611,475,8
612,313,0
613,449,0
614,663,3
615,105,0
616,111,0
617,677,9
618,139,0
619,688,0
620,717,0
621,703,0
622,273,3
623,515,3
624,501,3
625,267,4
626,16,8
627,529,0
628,6,3
629,298,0
630,599,2
631,566,3
632,200,0
633,71,0
634,65,3
635,214,3
636,572,8
637,228,3
638,59,3
639,764,3
640,770,0
641,758,0
642,189,0
643,823,3
644,176,8
645,610,3
646,604,3
647,162,0
648,638,0
649,412,0
650,374,3
651,360,3
652,406,3
653,348,8
654,349,7
655,361,4
656,407,0
657,413,0
658,375,0
659,639,7
660,605,9
661,163,0
662,177,0
663,611,0
664,822,3
665,188,8
666,759,0
667,771,8
668,765,0
669,58,3
670,229,0
671,215,0
672,64,0
673,573,4
674,567,3
675,70,0
676,201,0
677,598,3
678,99,8
679,571,7
680,66,3
681,217,8
682,203,0
683,72,3
684,565,3
685,559,0
686,798,0
687,773,0
688,767,9
689,808,0
690,820,0
691,161,0
692,607,0
693,613,3
694,175,3
695,149,7
696,388,0
697,405,0
698,363,3
699,377,8
700,411,0
701,439,0
702,438,0
703,376,0
704,410,2
705,404,8
706,362,8
707,389,0
708,148,3
709,612,3
710,174,8
711,160,3
712,606,8
713,821,3
714,809,0
715,766,8
716,772,3
717,799,7
718,558,9
719,73,0
720,202,7
721,564,0
722,570,0
723,216,0
724,67,0
725,98,2
726,88,0
727,548,3
728,63,0
729,212,8
730,574,8
731,560,8
732,206,8
733,77,3
734,789,8
735,776,8
736,762,0
737,825,0
738,819,0
739,158,3
740,602,9
741,164,8
742,170,0
743,616,2
744,399,0
745,428,0
746,366,3
747,400,2
748,414,0
749,372,8
750,415,0
751,373,0
752,367,3
753,401,0
754,429,0
755,398,8
756,171,0
757,617,0
758,603,5
759,165,3
760,159,8
761,818,0
762,824,7
763,763,0
764,777,3
765,788,0
766,561,7
767,76,7
768,207,8
769,213,0
770,62,0
771,575,3
772,549,0
773,89,7
774,588,0
775,48,0
776,239,0
777,205,8
778,74,3
779,563,0
780,577,3
781,60,8
782,211,0
783,749,9
784,761,3
785,775,0
786,198,0
787,826,8
788,629,4
789,615,0
790,173,3
791,167,8
792,601,9
793,359,7
794,371,0
795,417,0
796,403,0
797,365,5
798,402,4
799,364,0
800,370,3
801,416,7
802,358,3
803,166,8
804,600,0
805,614,0
806,172,8
807,628,4
808,199,7
809,827,0
810,774,3
811,760,3
812,748,7
813,576,3
814,210,0
815,61,8
816,75,4
817,204,8
818,562,0
819,238,0
820,49,0
821,589,0
